Model: ,Oscilloscope MSO-X 3014T
Serial Number:,MY57250672
Address: ,USBInstrument1
Date: ,2020-03-10 16:51:41

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-2.5E-08,3.2574999332428,,
2,-2.4921875E-08,3.2574999332428,,
3,-2.484375E-08,3.2574999332428,,
4,-2.4765625E-08,3.2574999332428,,
5,-2.46875E-08,3.2574999332428,,
6,-2.4609375E-08,3.2574999332428,,
7,-2.453125E-08,3.2574999332428,,
8,-2.4453125E-08,3.2574999332428,,
9,-2.4375E-08,3.2574999332428,,
10,-2.4296875E-08,3.2574999332428,,
11,-2.421875E-08,3.2574999332428,,
12,-2.4140625E-08,3.2574999332428,,
13,-2.40625E-08,3.2574999332428,,
14,-2.3984375E-08,3.2574999332428,,
15,-2.390625E-08,3.2574999332428,,
16,-2.3828125E-08,3.2574999332428,,
17,-2.375E-08,3.2574999332428,,
18,-2.3671875E-08,3.2574999332428,,
19,-2.359375E-08,3.2574999332428,,
20,-2.3515625E-08,3.2574999332428,,
21,-2.34375E-08,3.2574999332428,,
22,-2.3359375E-08,3.2574999332428,,
23,-2.328125E-08,3.2574999332428,,
24,-2.3203125E-08,3.2574999332428,,
25,-2.3125E-08,3.2574999332428,,
26,-2.3046875E-08,3.2574999332428,,
27,-2.296875E-08,3.2574999332428,,
28,-2.2890625E-08,3.2574999332428,,
29,-2.28125E-08,3.2574999332428,,
30,-2.2734375E-08,3.2574999332428,,
31,-2.265625E-08,3.2574999332428,,
32,-2.2578125E-08,3.2574999332428,,
33,-2.25E-08,3.2574999332428,,
34,-2.2421875E-08,3.2574999332428,,
35,-2.234375E-08,3.2574999332428,,
36,-2.2265625E-08,3.2574999332428,,
37,-2.21875E-08,3.2574999332428,,
38,-2.2109375E-08,3.2574999332428,,
39,-2.203125E-08,3.2574999332428,,
40,-2.1953125E-08,3.2574999332428,,
41,-2.1875E-08,3.2574999332428,,
42,-2.1796875E-08,3.2574999332428,,
43,-2.171875E-08,3.2574999332428,,
44,-2.1640625E-08,3.2574999332428,,
45,-2.15625E-08,3.2574999332428,,
46,-2.1484375E-08,3.2574999332428,,
47,-2.140625E-08,3.2574999332428,,
48,-2.1328125E-08,3.2574999332428,,
49,-2.125E-08,3.2574999332428,,
50,-2.1171875E-08,3.2574999332428,,
51,-2.109375E-08,3.2574999332428,,
52,-2.1015625E-08,3.2574999332428,,
53,-2.09375E-08,3.2574999332428,,
54,-2.0859375E-08,3.2574999332428,,
55,-2.078125E-08,3.2574999332428,,
56,-2.0703125E-08,3.2574999332428,,
57,-2.0625E-08,3.2574999332428,,
58,-2.0546875E-08,3.2574999332428,,
59,-2.046875E-08,3.2574999332428,,
60,-2.0390625E-08,3.2574999332428,,
61,-2.03125E-08,3.2574999332428,,
62,-2.0234375E-08,3.2574999332428,,
63,-2.015625E-08,3.2574999332428,,
64,-2.0078125E-08,3.2574999332428,,
65,-2E-08,3.2574999332428,,
66,-1.9921875E-08,3.2574999332428,,
67,-1.984375E-08,3.2574999332428,,
68,-1.9765625E-08,3.2574999332428,,
69,-1.96875E-08,3.2574999332428,,
70,-1.9609375E-08,3.2574999332428,,
71,-1.953125E-08,3.2574999332428,,
72,-1.9453125E-08,3.2574999332428,,
73,-1.9375E-08,3.2574999332428,,
74,-1.9296875E-08,3.2574999332428,,
75,-1.921875E-08,3.2574999332428,,
76,-1.9140625E-08,3.2574999332428,,
77,-1.90625E-08,3.2574999332428,,
78,-1.8984375E-08,3.2574999332428,,
79,-1.890625E-08,3.2574999332428,,
80,-1.8828125E-08,3.2574999332428,,
81,-1.875E-08,3.2574999332428,,
82,-1.8671875E-08,3.2574999332428,,
83,-1.859375E-08,3.2574999332428,,
84,-1.8515625E-08,3.2574999332428,,
85,-1.84375E-08,3.2574999332428,,
86,-1.8359375E-08,3.2574999332428,,
87,-1.828125E-08,3.2574999332428,,
88,-1.8203125E-08,3.2574999332428,,
89,-1.8125E-08,3.2574999332428,,
90,-1.8046875E-08,3.2574999332428,,
91,-1.796875E-08,3.2574999332428,,
92,-1.7890625E-08,3.2574999332428,,
93,-1.78125E-08,3.2574999332428,,
94,-1.7734375E-08,3.2574999332428,,
95,-1.765625E-08,3.2574999332428,,
96,-1.7578125E-08,3.2574999332428,,
97,-1.75E-08,3.2574999332428,,
98,-1.7421875E-08,3.2574999332428,,
99,-1.734375E-08,3.2574999332428,,
100,-1.7265625E-08,3.2574999332428,,
101,-1.71875E-08,3.2574999332428,,
102,-1.7109375E-08,3.2574999332428,,
103,-1.703125E-08,3.2574999332428,,
104,-1.6953125E-08,3.2574999332428,,
105,-1.6875E-08,3.2574999332428,,
106,-1.6796875E-08,3.2574999332428,,
107,-1.671875E-08,3.2574999332428,,
108,-1.6640625E-08,3.2574999332428,,
109,-1.65625E-08,3.2574999332428,,
110,-1.6484375E-08,3.2574999332428,,
111,-1.640625E-08,3.2574999332428,,
112,-1.6328125E-08,3.2574999332428,,
113,-1.625E-08,3.2574999332428,,
114,-1.6171875E-08,3.2574999332428,,
115,-1.609375E-08,3.2574999332428,,
116,-1.6015625E-08,3.2574999332428,,
117,-1.59375E-08,3.2574999332428,,
118,-1.5859375E-08,3.2574999332428,,
119,-1.578125E-08,3.2574999332428,,
120,-1.5703125E-08,3.2574999332428,,
121,-1.5625E-08,3.2574999332428,,
122,-1.5546875E-08,3.2574999332428,,
123,-1.546875E-08,3.2574999332428,,
124,-1.5390625E-08,3.2574999332428,,
125,-1.53125E-08,3.2574999332428,,
126,-1.5234375E-08,3.2574999332428,,
127,-1.515625E-08,3.2574999332428,,
128,-1.5078125E-08,3.2574999332428,,
129,-1.5E-08,3.2574999332428,,
130,-1.4921875E-08,3.2574999332428,,
131,-1.484375E-08,3.2574999332428,,
132,-1.4765625E-08,3.2574999332428,,
133,-1.46875E-08,3.2574999332428,,
134,-1.4609375E-08,3.2574999332428,,
135,-1.453125E-08,3.2574999332428,,
136,-1.4453125E-08,3.2574999332428,,
137,-1.4375E-08,3.2574999332428,,
138,-1.4296875E-08,3.2574999332428,,
139,-1.421875E-08,3.2574999332428,,
140,-1.4140625E-08,3.2574999332428,,
141,-1.40625E-08,3.2574999332428,,
142,-1.3984375E-08,3.2574999332428,,
143,-1.390625E-08,3.2574999332428,,
144,-1.3828125E-08,3.2574999332428,,
145,-1.375E-08,3.2574999332428,,
146,-1.3671875E-08,3.2574999332428,,
147,-1.359375E-08,3.2574999332428,,
148,-1.3515625E-08,3.2574999332428,,
149,-1.34375E-08,3.2574999332428,,
150,-1.3359375E-08,3.2574999332428,,
151,-1.328125E-08,3.2574999332428,,
152,-1.3203125E-08,3.2574999332428,,
153,-1.3125E-08,3.2574999332428,,
154,-1.3046875E-08,3.2574999332428,,
155,-1.296875E-08,3.2574999332428,,
